query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	parents
down_degIDs_12hrs	TRUE	1.4272124829461607e-4	100	365	17	0.04657534246575343	0.17	GO:0009141	GO:BP	nucleoside triphosphate metabolic process	9885	3345	
down_degIDs_12hrs	TRUE	1.9037251296094562e-4	2789	365	148	0.4054794520547945	0.05306561491574041	GO:0006725	GO:BP	cellular aromatic compound metabolic process	9885	2457	
down_degIDs_12hrs	TRUE	4.4638471797968463e-4	96	365	16	0.043835616438356165	0.16666666666666666	GO:0016072	GO:BP	rRNA metabolic process	9885	5160	
down_degIDs_12hrs	TRUE	4.7736854961003553e-4	174	365	22	0.06027397260273973	0.12643678160919541	GO:0009259	GO:BP	ribonucleotide metabolic process	9885	3461	
down_degIDs_12hrs	TRUE	7.099623192285978e-4	178	365	22	0.06027397260273973	0.12359550561797752	GO:0019693	GO:BP	ribose phosphate metabolic process	9885	6216	
down_degIDs_12hrs	TRUE	8.952973988212075e-4	139	365	19	0.052054794520547946	0.1366906474820144	GO:0009165	GO:BP	nucleotide biosynthetic process	9885	3368	
down_degIDs_12hrs	TRUE	0.0012074982649499493	213	365	24	0.06575342465753424	0.11267605633802817	GO:0051276	GO:BP	chromosome organization	9885	14061	
down_degIDs_12hrs	TRUE	0.0013846632628107206	92	365	15	0.0410958904109589	0.16304347826086957	GO:0006457	GO:BP	protein folding	9885	2227	
down_degIDs_12hrs	TRUE	0.0013846632628107206	92	365	15	0.0410958904109589	0.16304347826086957	GO:0009199	GO:BP	ribonucleoside triphosphate metabolic process	9885	3402	
down_degIDs_12hrs	TRUE	0.001550393840741833	144	365	19	0.052054794520547946	0.13194444444444445	GO:1901293	GO:BP	nucleoside phosphate biosynthetic process	9885	21875	
down_degIDs_12hrs	TRUE	0.0016935961620116664	3159	365	159	0.43561643835616437	0.050332383665717	GO:0009059	GO:BP	macromolecule biosynthetic process	9885	3272	
down_degIDs_12hrs	TRUE	0.0021274920071001078	4	365	4	0.010958904109589041	1	GO:0043504	GO:BP	mitochondrial DNA repair	9885	11098	
down_degIDs_12hrs	TRUE	0.0023945792265256346	2925	365	149	0.40821917808219177	0.05094017094017094	GO:0010467	GO:BP	gene expression	9885	4207	
down_degIDs_12hrs	TRUE	0.0025888483851463618	192	365	22	0.06027397260273973	0.11458333333333333	GO:0006091	GO:BP	generation of precursor metabolites and energy	9885	1974	
down_degIDs_12hrs	TRUE	0.0038959268253693823	13	365	6	0.01643835616438356	0.46153846153846156	GO:0032042	GO:BP	mitochondrial DNA metabolic process	9885	7588	
down_degIDs_12hrs	TRUE	0.006791522536031272	5672	365	250	0.684931506849315	0.044076163610719324	GO:0071704	GO:BP	organic substance metabolic process	9885	17374	
down_degIDs_12hrs	TRUE	0.008334048600089053	161	365	19	0.052054794520547946	0.11801242236024845	GO:0009150	GO:BP	purine ribonucleotide metabolic process	9885	3354	
down_degIDs_12hrs	TRUE	0.010669325076857878	15	365	6	0.01643835616438356	0.4	GO:0000002	GO:BP	mitochondrial genome maintenance	9885	2	
down_degIDs_12hrs	TRUE	0.012322898327062013	471	365	37	0.10136986301369863	0.07855626326963906	GO:1901135	GO:BP	carbohydrate derivative metabolic process	9885	21749	
down_degIDs_12hrs	TRUE	0.012947458900088011	72	365	12	0.03287671232876712	0.16666666666666666	GO:0046034	GO:BP	ATP metabolic process	9885	12209	
down_degIDs_12hrs	TRUE	0.013288096329807216	50	365	10	0.0273972602739726	0.2	GO:0006119	GO:BP	oxidative phosphorylation	9885	1997	
down_degIDs_12hrs	TRUE	0.015440041256605001	98	365	14	0.038356164383561646	0.14285714285714285	GO:0045333	GO:BP	cellular respiration	9885	11755	
down_degIDs_12hrs	TRUE	0.016840741622822945	86	365	13	0.03561643835616438	0.1511627906976744	GO:0009205	GO:BP	purine ribonucleoside triphosphate metabolic process	9885	3408	
down_degIDs_12hrs	TRUE	0.02173062564683878	88	365	13	0.03561643835616438	0.14772727272727273	GO:0009144	GO:BP	purine nucleoside triphosphate metabolic process	9885	3348	
down_degIDs_12hrs	TRUE	0.02670530397349462	450	365	35	0.0958904109589041	0.07777777777777778	GO:0019637	GO:BP	organophosphate metabolic process	9885	6166	
down_degIDs_12hrs	TRUE	0.028988721997022106	307	365	27	0.07397260273972603	0.08794788273615635	GO:0034660	GO:BP	ncRNA metabolic process	9885	9013	
down_degIDs_12hrs	TRUE	0.03007524381220288	6	365	4	0.010958904109589041	0.6666666666666666	GO:0006189	GO:BP	'de novo' IMP biosynthetic process	9885	2040	
down_degIDs_12hrs	TRUE	0.033652061152477555	193	365	20	0.0547945205479452	0.10362694300518134	GO:0006163	GO:BP	purine nucleotide metabolic process	9885	2018	
down_degIDs_12hrs	TRUE	0.03419434653008626	79	365	12	0.03287671232876712	0.1518987341772152	GO:0009060	GO:BP	aerobic respiration	9885	3273	
down_degIDs_12hrs	TRUE	0.03479592283809006	242	365	23	0.06301369863013699	0.09504132231404959	GO:0006281	GO:BP	DNA repair	9885	2116	
down_degIDs_12hrs	TRUE	0.03643728872882321	210	365	21	0.057534246575342465	0.1	GO:0034470	GO:BP	ncRNA processing	9885	8945	
down_degIDs_12hrs	TRUE	0.037807554804220864	56	365	10	0.0273972602739726	0.17857142857142858	GO:0006261	GO:BP	DNA-templated DNA replication	9885	2099	
down_degIDs_12hrs	TRUE	0.04186912983802208	349	365	29	0.07945205479452055	0.0830945558739255	GO:0006974	GO:BP	DNA damage response	9885	2632	
down_degIDs_12hrs	TRUE	0.042067753185030476	196	365	20	0.0547945205479452	0.10204081632653061	GO:0072521	GO:BP	purine-containing compound metabolic process	9885	17940	
down_degIDs_12hrs	TRUE	0.045432596737618236	36	365	8	0.021917808219178082	0.2222222222222222	GO:0042773	GO:BP	ATP synthesis coupled electron transport	9885	10707	
down_degIDs_12hrs	TRUE	2.3370086024079937e-20	6511	360	315	0.875	0.048379665181999695	GO:0005622	GO:CC	intracellular anatomical structure	9988	237	
down_degIDs_12hrs	TRUE	2.35112865179242e-19	2606	360	177	0.49166666666666664	0.06792018419033001	GO:0032991	GO:CC	protein-containing complex	9988	1340	
down_degIDs_12hrs	TRUE	6.904084455227903e-19	78	360	28	0.07777777777777778	0.358974358974359	GO:0044391	GO:CC	ribosomal subunit	9988	2076	
down_degIDs_12hrs	TRUE	2.019332066481452e-18	39	360	21	0.058333333333333334	0.5384615384615384	GO:0022626	GO:CC	cytosolic ribosome	9988	857	
down_degIDs_12hrs	TRUE	4.818217967063465e-16	201	360	39	0.10833333333333334	0.19402985074626866	GO:0005840	GO:CC	ribosome	9988	389	
down_degIDs_12hrs	TRUE	4.963628929244385e-16	5738	360	284	0.7888888888888889	0.04949459742070408	GO:0043229	GO:CC	intracellular organelle	9988	1881	
down_degIDs_12hrs	TRUE	1.5898455367081473e-15	21	360	15	0.041666666666666664	0.7142857142857143	GO:0022625	GO:CC	cytosolic large ribosomal subunit	9988	856	
down_degIDs_12hrs	TRUE	4.588792858353465e-15	520	360	62	0.17222222222222222	0.11923076923076924	GO:1990904	GO:CC	ribonucleoprotein complex	9988	4043	
down_degIDs_12hrs	TRUE	2.138931839055026e-14	5855	360	284	0.7888888888888889	0.04850555081127242	GO:0043226	GO:CC	organelle	9988	1878	
down_degIDs_12hrs	TRUE	1.661341230304699e-12	4816	360	245	0.6805555555555556	0.050872093023255814	GO:0043231	GO:CC	intracellular membrane-bounded organelle	9988	1883	
down_degIDs_12hrs	TRUE	9.194086873401348e-12	50	360	18	0.05	0.36	GO:0015934	GO:CC	large ribosomal subunit	9988	709	
down_degIDs_12hrs	TRUE	1.3749161150646319e-10	4998	360	246	0.6833333333333333	0.04921968787515006	GO:0043227	GO:CC	membrane-bounded organelle	9988	1879	
down_degIDs_12hrs	TRUE	1.9167513437438616e-10	1758	360	118	0.3277777777777778	0.0671217292377702	GO:0043233	GO:CC	organelle lumen	9988	1885	
down_degIDs_12hrs	TRUE	1.9167513437438616e-10	1758	360	118	0.3277777777777778	0.0671217292377702	GO:0070013	GO:CC	intracellular organelle lumen	9988	2399	
down_degIDs_12hrs	TRUE	1.9167513437438616e-10	1758	360	118	0.3277777777777778	0.0671217292377702	GO:0031974	GO:CC	membrane-enclosed lumen	9988	1221	
down_degIDs_12hrs	TRUE	8.501471346186173e-10	425	360	47	0.13055555555555556	0.11058823529411765	GO:0031975	GO:CC	envelope	9988	1222	
down_degIDs_12hrs	TRUE	8.501471346186173e-10	425	360	47	0.13055555555555556	0.11058823529411765	GO:0031967	GO:CC	organelle envelope	9988	1215	
down_degIDs_12hrs	TRUE	2.895203293923749e-9	3035	360	169	0.46944444444444444	0.055683690280065895	GO:0005634	GO:CC	nucleus	9988	243	
down_degIDs_12hrs	TRUE	4.681924164202675e-9	4174	360	212	0.5888888888888889	0.05079060852898898	GO:0005737	GO:CC	cytoplasm	9988	309	
down_degIDs_12hrs	TRUE	5.503857239430984e-9	2234	360	135	0.375	0.06042972247090421	GO:0043232	GO:CC	intracellular non-membrane-bounded organelle	9988	1884	
down_degIDs_12hrs	TRUE	5.503857239430984e-9	2234	360	135	0.375	0.06042972247090421	GO:0043228	GO:CC	non-membrane-bounded organelle	9988	1880	
down_degIDs_12hrs	TRUE	6.699771483113575e-9	636	360	58	0.16111111111111112	0.09119496855345911	GO:0005739	GO:CC	mitochondrion	9988	310	
down_degIDs_12hrs	TRUE	7.342799593198704e-8	170	360	26	0.07222222222222222	0.15294117647058825	GO:0005743	GO:CC	mitochondrial inner membrane	9988	314	
down_degIDs_12hrs	TRUE	1.4216333614241432e-7	188	360	27	0.075	0.14361702127659576	GO:0019866	GO:CC	organelle inner membrane	9988	823	
down_degIDs_12hrs	TRUE	1.6892147914767088e-7	1608	360	103	0.2861111111111111	0.0640547263681592	GO:0031981	GO:CC	nuclear lumen	9988	1227	
down_degIDs_12hrs	TRUE	6.304928453108338e-7	272	360	32	0.08888888888888889	0.11764705882352941	GO:0005740	GO:CC	mitochondrial envelope	9988	311	
down_degIDs_12hrs	TRUE	1.1488888319380487e-6	249	360	30	0.08333333333333333	0.12048192771084337	GO:0031966	GO:CC	mitochondrial membrane	9988	1214	
down_degIDs_12hrs	TRUE	2.187845934134627e-6	26	360	10	0.027777777777777776	0.38461538461538464	GO:0015935	GO:CC	small ribosomal subunit	9988	710	
down_degIDs_12hrs	TRUE	1.1263917018708826e-5	133	360	20	0.05555555555555555	0.15037593984962405	GO:0098798	GO:CC	mitochondrial protein-containing complex	9988	3260	
down_degIDs_12hrs	TRUE	3.7679398754396286e-5	51	360	12	0.03333333333333333	0.23529411764705882	GO:0070469	GO:CC	respirasome	9988	2497	
down_degIDs_12hrs	TRUE	5.4798281335859394e-5	73	360	14	0.03888888888888889	0.1917808219178082	GO:0098800	GO:CC	inner mitochondrial membrane protein complex	9988	3262	
down_degIDs_12hrs	TRUE	8.149898646610433e-5	45	360	11	0.030555555555555555	0.24444444444444444	GO:0098803	GO:CC	respiratory chain complex	9988	3264	
down_degIDs_12hrs	TRUE	8.42498671473429e-5	760	360	55	0.1527777777777778	0.07236842105263158	GO:1902494	GO:CC	catalytic complex	9988	3635	
down_degIDs_12hrs	TRUE	1.2941917035520428e-4	1189	360	75	0.20833333333333334	0.06307821698906645	GO:0005829	GO:CC	cytosol	9988	380	
down_degIDs_12hrs	TRUE	1.7214962502890707e-4	39	360	10	0.027777777777777776	0.2564102564102564	GO:0030684	GO:CC	preribosome	9988	967	
down_degIDs_12hrs	TRUE	1.7592088240162e-4	11	360	6	0.016666666666666666	0.5454545454545454	GO:0022627	GO:CC	cytosolic small ribosomal subunit	9988	858	
down_degIDs_12hrs	TRUE	2.464841409639241e-4	24	360	8	0.022222222222222223	0.3333333333333333	GO:0045271	GO:CC	respiratory chain complex I	9988	2171	
down_degIDs_12hrs	TRUE	2.464841409639241e-4	24	360	8	0.022222222222222223	0.3333333333333333	GO:0030964	GO:CC	NADH dehydrogenase complex	9988	1014	
down_degIDs_12hrs	TRUE	2.846359051748334e-4	41	360	10	0.027777777777777776	0.24390243902439024	GO:0005746	GO:CC	mitochondrial respirasome	9988	317	
down_degIDs_12hrs	TRUE	3.5507659266660054e-4	18	360	7	0.019444444444444445	0.3888888888888889	GO:0101031	GO:CC	protein folding chaperone complex	9988	3387	
down_degIDs_12hrs	TRUE	3.584157679525043e-4	62	360	12	0.03333333333333333	0.1935483870967742	GO:1990204	GO:CC	oxidoreductase complex	9988	3823	
down_degIDs_12hrs	TRUE	5.957430056377985e-4	1215	360	74	0.20555555555555555	0.060905349794238686	GO:0005654	GO:CC	nucleoplasm	9988	252	
down_degIDs_12hrs	TRUE	0.0017018370827585028	5	360	4	0.011111111111111112	0.8	GO:0005832	GO:CC	chaperonin-containing T-complex	9988	382	
down_degIDs_12hrs	TRUE	0.002118466770869203	31	360	8	0.022222222222222223	0.25806451612903225	GO:0032040	GO:CC	small-subunit processome	9988	1239	
down_degIDs_12hrs	TRUE	0.0021529507071288887	559	360	41	0.11388888888888889	0.07334525939177101	GO:0005730	GO:CC	nucleolus	9988	305	
down_degIDs_12hrs	TRUE	0.002339615925752116	23	360	7	0.019444444444444445	0.30434782608695654	GO:0005747	GO:CC	mitochondrial respiratory chain complex I	9988	318	
down_degIDs_12hrs	TRUE	0.008257620003935179	512	360	37	0.10277777777777777	0.072265625	GO:0005694	GO:CC	chromosome	9988	284	
down_degIDs_12hrs	TRUE	0.012377401932050624	1142	360	66	0.18333333333333332	0.05779334500875657	GO:0031090	GO:CC	organelle membrane	9988	1045	
down_degIDs_12hrs	TRUE	0.019253603783808755	594	360	40	0.1111111111111111	0.06734006734006734	GO:0140513	GO:CC	nuclear protein-containing complex	9988	3557	
down_degIDs_12hrs	TRUE	0.03814624443358668	4	360	3	0.008333333333333333	0.75	GO:0031390	GO:CC	Ctf18 RFC-like complex	9988	1103	
down_degIDs_12hrs	TRUE	0.03814624443358668	4	360	3	0.008333333333333333	0.75	GO:0071541	GO:CC	eukaryotic translation initiation factor 3 complex, eIF3m	9988	2736	
down_degIDs_12hrs	TRUE	0.03821117369361047	9	360	4	0.011111111111111112	0.4444444444444444	GO:0033290	GO:CC	eukaryotic 48S preinitiation complex	9988	1416	
down_degIDs_12hrs	TRUE	0.039248594027563644	16	360	5	0.013888888888888888	0.3125	GO:0005791	GO:CC	rough endoplasmic reticulum	9988	356	
down_degIDs_12hrs	TRUE	1.0956069500430996e-15	176	360	35	0.09722222222222222	0.19886363636363635	GO:0003735	GO:MF	structural constituent of ribosome	11031	353	
down_degIDs_12hrs	TRUE	1.3330017654508173e-9	3355	360	171	0.475	0.05096870342771982	GO:0097159	GO:MF	organic cyclic compound binding	11031	9069	
down_degIDs_12hrs	TRUE	1.1306186844758579e-6	1767	360	101	0.28055555555555556	0.05715902659875495	GO:0003676	GO:MF	nucleic acid binding	11031	323	
down_degIDs_12hrs	TRUE	1.463957680328483e-6	671	360	52	0.14444444444444443	0.07749627421758569	GO:0003723	GO:MF	RNA binding	11031	346	
down_degIDs_12hrs	TRUE	3.1794550403644602e-6	472	360	41	0.11388888888888889	0.08686440677966102	GO:0005198	GO:MF	structural molecule activity	11031	1347	
down_degIDs_12hrs	TRUE	2.6912155936233702e-5	26	360	9	0.025	0.34615384615384615	GO:0003678	GO:MF	DNA helicase activity	11031	325	
down_degIDs_12hrs	TRUE	3.203513109313831e-5	43	360	11	0.030555555555555555	0.2558139534883721	GO:0051082	GO:MF	unfolded protein binding	11031	7949	
down_degIDs_12hrs	TRUE	3.5053491872569996e-5	211	360	24	0.06666666666666667	0.11374407582938388	GO:0016887	GO:MF	ATP hydrolysis activity	11031	3059	
down_degIDs_12hrs	TRUE	5.59845459075256e-5	389	360	34	0.09444444444444444	0.08740359897172237	GO:0140640	GO:MF	catalytic activity, acting on a nucleic acid	11031	10557	
down_degIDs_12hrs	TRUE	1.252545627196888e-4	70	360	13	0.03611111111111111	0.18571428571428572	GO:0045182	GO:MF	translation regulator activity	11031	6074	
down_degIDs_12hrs	TRUE	2.969687703220771e-4	142	360	18	0.05	0.1267605633802817	GO:0140097	GO:MF	catalytic activity, acting on DNA	11031	10410	
down_degIDs_12hrs	TRUE	4.385991225523744e-4	1654	360	88	0.24444444444444444	0.053204353083434096	GO:1901363	GO:MF	heterocyclic compound binding	11031	10912	
down_degIDs_12hrs	TRUE	7.579242979954474e-4	1575	360	84	0.23333333333333334	0.05333333333333334	GO:1901265	GO:MF	nucleoside phosphate binding	11031	10909	
down_degIDs_12hrs	TRUE	7.579242979954474e-4	1575	360	84	0.23333333333333334	0.05333333333333334	GO:0000166	GO:MF	nucleotide binding	11031	31	
down_degIDs_12hrs	TRUE	9.922779386565914e-4	38	360	9	0.025	0.23684210526315788	GO:0044183	GO:MF	protein folding chaperone	11031	5985	
down_degIDs_12hrs	TRUE	0.001161891635820909	1199	360	68	0.18888888888888888	0.0567139282735613	GO:0030554	GO:MF	adenyl nucleotide binding	11031	3946	
down_degIDs_12hrs	TRUE	0.0013751108104002319	30	360	8	0.022222222222222223	0.26666666666666666	GO:0140662	GO:MF	ATP-dependent protein folding chaperone	11031	10565	
down_degIDs_12hrs	TRUE	0.003232980643626677	1482	360	78	0.21666666666666667	0.05263157894736842	GO:0017076	GO:MF	purine nucleotide binding	11031	3134	
down_degIDs_12hrs	TRUE	0.003668901396218805	80	360	12	0.03333333333333333	0.15	GO:0008094	GO:MF	ATP-dependent activity, acting on DNA	11031	1546	
down_degIDs_12hrs	TRUE	0.00708509714828796	462	360	33	0.09166666666666666	0.07142857142857142	GO:0016817	GO:MF	hydrolase activity, acting on acid anhydrides	11031	3001	
down_degIDs_12hrs	TRUE	0.007205593332442347	72	360	11	0.030555555555555555	0.1527777777777778	GO:0043021	GO:MF	ribonucleoprotein complex binding	11031	5703	
down_degIDs_12hrs	TRUE	0.007431736131943464	422	360	31	0.08611111111111111	0.07345971563981042	GO:0140657	GO:MF	ATP-dependent activity	11031	10560	
down_degIDs_12hrs	TRUE	0.007881626987475717	60	360	10	0.027777777777777776	0.16666666666666666	GO:0090079	GO:MF	translation regulator activity, nucleic acid binding	11031	8972	
down_degIDs_12hrs	TRUE	0.011010191616212552	1661	360	83	0.23055555555555557	0.049969897652016856	GO:0043168	GO:MF	anion binding	11031	5722	
down_degIDs_12hrs	TRUE	0.01391771956988251	91	360	12	0.03333333333333333	0.13186813186813187	GO:0004386	GO:MF	helicase activity	11031	747	
down_degIDs_12hrs	TRUE	0.01467394369600519	458	360	32	0.08888888888888889	0.06986899563318777	GO:0016462	GO:MF	pyrophosphatase activity	11031	2808	
down_degIDs_12hrs	TRUE	0.016397915355141644	41	360	8	0.022222222222222223	0.1951219512195122	GO:0051287	GO:MF	NAD binding	11031	7969	
down_degIDs_12hrs	TRUE	0.016654131732555193	461	360	32	0.08888888888888889	0.06941431670281996	GO:0016818	GO:MF	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	11031	3002	
down_degIDs_12hrs	TRUE	0.02371546271231217	55	360	9	0.025	0.16363636363636364	GO:0008135	GO:MF	translation factor activity, RNA binding	11031	1572	
down_degIDs_12hrs	TRUE	0.025328740933299513	429	360	30	0.08333333333333333	0.06993006993006994	GO:0017111	GO:MF	ribonucleoside triphosphate phosphatase activity	11031	3149	
down_degIDs_12hrs	TRUE	0.026065979370852935	8	360	4	0.011111111111111112	0.5	GO:0016742	GO:MF	hydroxymethyl-, formyl- and related transferase activity	11031	2941	
down_degIDs_12hrs	TRUE	0.047483293335659864	103	360	12	0.03333333333333333	0.11650485436893204	GO:0003729	GO:MF	mRNA binding	11031	351	
down_degIDs_12hrs	TRUE	3.036581777622884e-6	190	142	25	0.176056338028169	0.13157894736842105	HP:0012103	HP	Abnormality of the mitochondrion	4213	8498	
down_degIDs_12hrs	TRUE	3.326329993700906e-5	30	142	10	0.07042253521126761	0.3333333333333333	HP:0006758	HP	Malignant genitourinary tract tumor	4213	4415	
down_degIDs_12hrs	TRUE	3.383363308879149e-5	126	142	19	0.13380281690140844	0.15079365079365079	HP:0025454	HP	Abnormal CSF metabolite concentration	4213	9881	
down_degIDs_12hrs	TRUE	3.660385803448676e-5	89	142	16	0.11267605633802817	0.1797752808988764	HP:0030085	HP	Abnormal CSF lactate concentration	4213	10221	
down_degIDs_12hrs	TRUE	3.660385803448676e-5	89	142	16	0.11267605633802817	0.1797752808988764	HP:0002490	HP	Increased CSF lactate	4213	1801	
down_degIDs_12hrs	TRUE	3.890629507165222e-5	169	142	22	0.15492957746478872	0.1301775147928994	HP:0003287	HP	Abnormality of mitochondrial metabolism	4213	2375	
down_degIDs_12hrs	TRUE	4.399592092176655e-5	185	142	23	0.1619718309859155	0.12432432432432433	HP:0001254	HP	Lethargy	4213	954	
down_degIDs_12hrs	TRUE	5.1279204001483486e-5	58	142	13	0.09154929577464789	0.22413793103448276	HP:0001972	HP	Macrocytic anemia	4213	1437	
down_degIDs_12hrs	TRUE	5.219804490262383e-5	510	142	41	0.2887323943661972	0.0803921568627451	HP:0011017	HP	Abnormal cellular physiology	4213	7433	
down_degIDs_12hrs	TRUE	5.938358713822417e-5	117	142	18	0.1267605633802817	0.15384615384615385	HP:0008972	HP	Decreased activity of mitochondrial respiratory chain	4213	5592	
down_degIDs_12hrs	TRUE	7.120906307951308e-5	536	142	42	0.29577464788732394	0.07835820895522388	HP:0025354	HP	Abnormal cellular phenotype	4213	9790	
down_degIDs_12hrs	TRUE	7.794198382585561e-5	119	142	18	0.1267605633802817	0.15126050420168066	HP:0011922	HP	Abnormal activity of mitochondrial respiratory chain	4213	8318	
down_degIDs_12hrs	TRUE	4.1926634109757576e-4	22	142	8	0.056338028169014086	0.36363636363636365	HP:0012133	HP	Erythroid hypoplasia	4213	8528	
down_degIDs_12hrs	TRUE	8.946807162292182e-4	85	142	14	0.09859154929577464	0.16470588235294117	HP:0010622	HP	Neoplasm of the skeletal system	4213	7062	
down_degIDs_12hrs	TRUE	0.0010380854688757772	86	142	14	0.09859154929577464	0.16279069767441862	HP:0011923	HP	Decreased activity of mitochondrial complex I	4213	8319	
down_degIDs_12hrs	TRUE	0.0011511841300914961	42	142	10	0.07042253521126761	0.23809523809523808	HP:0005518	HP	Increased mean corpuscular volume	4213	3726	
